,song_artist
733,Hey! Baby - Bruce Channel
734,Lowdown - Boz Scaggs
735,Love on the Rocks - Neil Diamond
736,Ho Hey - The Lumineers
737,One More Night - Phil Collins
738,Let Me Blow Ya Mind - Eve
739,Ain't No Mountain High Enough - Diana Ross
740,Teenage Dream - Katy Perry
741,Lonely Night (Angel Face) - Captain & Tennille
742,Addicted to Love - Robert Palmer
743,Heaven - Bryan Adams
744,Set Fire to the Rain - Adele
745,Come Together - The Beatles
746,I Want You Back - Jackson 5
747,Motownphilly - Boyz II Men
748,Missing - Everything but the Girl
749,Fame - David Bowie
750,Annie's Song - John Denver
751,(Can't Live Without Your) Love and Affection - Nelson
752,Chariots of Fire - Vangelis
753,Starboy - The Weeknd
754,Hey There Delilah - Plain White T's
755,Human - Human League
756,You'll Never Find Another Love Like Mine - Lou Rawls
757,Always - Atlantic Starr
758,Hooked on a Feeling - Blue Swede
759,Save the Best for Last - Vanessa Williams
760,Weak - SWV
761,The Byrds - Turn! Turn! Turn!
762,Aaliyah - Try Again
763,(You're My) Soul and Inspiration - The Righteous Brothers
764,Let's Go Crazy - Prince and the Revolution
765,Greenfields - The Brothers Four
766,Do Anything - Natural Selection
767,Head to Toe - Lisa Lisa & Cult Jam
768,Good Feeling - Flo Rida
769,Everything She Wants - Wham!
770,The Look - Roxette
771,Bobby Vinton - Mr. Lonely
772,I Gotcha - Joe Tex
773,Good Times - Chic
774,Easy Lover - Philip Bailey & Phil Collins
775,Sad Eyes - Robert John
776,Here Comes the Hotstepper- Ini Kamoze
777,You Haven't Done Nothin' - Stevie Wonder
778,Playground in My Mind - Clint Holmes
779,C'est La Vie - Robbie Nevil
780,If Wishes Came True - Sweet Sensation
781,War - Edwin Starr
782,Coming Out of the Dark - Gloria Estefan
783,Tha Crossroads - Bone Thugs-N-Harmony
784,Frankenstein - The Edgar Winter Group
785,Sara - Starship
786,Hold on - En Vogue
787,Single Ladies (Put a Ring on It) - Beyonce
788,Party in the U.S.A. - Miley Cyrus
789,Emotion - Samantha Sang
790,Miami Vice Theme - Jan Hammer
791,One Less Bell to Answer - The 5th Dimension
792,Sukiyaki - Kyu Sakamoto
793,Louie Louie - The Kingsmen
794,I'd Do Anything for Love (But I Won't Do That) - Meat Loaf
795,Angie - The Rolling Stones
796,Uptown Girl - Billy Joel
797,Change the World - Eric Clapton
798,Black Water - Doobie Brothers
799,Tighten Up - Archie Bell & the Drells
800,At This Moment - Billy Vera & the Beaters
801,I Will Follow Him - Little Peggy March
802,Mama Told Me Not to Come - Three Dog Night
803,Dream Lover - Bobby Darin
804,Fireflies - Owl City
805,Forever - Chris Brown
806,Blue Moon - The Marcels
807,Heaven Is a Place on Earth - Belinda Carlisle
808,Heartless - Kanye West
809,Someday We'll Be Together - Diana Ross & the Supremes
810,Sundown- Gordon Lightfoot
811,Sledgehammer - Peter Gabriel
812,Why - Frankie Avalon
813,"Shake Ya Tailfeather - Nelly, P. Diddy & Murphy Lee"
814,If I Ever Fall in Love - Shai
815,The Sweet Escape - Gwen Stefani
816,She Drives Me Crazy - Fine Young Cannibals
817,Travelin' Man - Ricky Nelson
818,With You - Chris Brown
819,Starships - Nicki Minaj
820,ABC - Jackson 5
821,Time After Time - Cyndi Lauper
822,Open Arms - Journey
823,The Loco-Motion - Grand Funk
824,Grease - Frankie Valli
825,P!Nk - Just Give Me a Reason Ft. Nate Ruess
826,Take a Bow - Rihanna
827,Car Wash- Rose Royse
828,Judy in Disguise (With Glasses) - John Fred and His Playboy Band
829,96 Tears - ? & the Mysterians
830,Dancing on the Ceiling - Lionel Richie
831,Stitches - Shawn Mendes
832,Truly - Lionel Richie
833,Kiss Me - Sixpence None the Richer
834,(I've Had) the Time of My Life Bill Medley & Jennifer Warnes
835,My Love - Justin Timberlake Ft. T.I.
836,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song - BJ Thomas
837,Tragedy - Bee Gees
838,Drops of Jupiter - Train
839,Theme From Mahogany (Do You Know Where You're Going To) - Diana Ross
840,Will You Love Me Tomorrow - The Shirelles
841,He Don't Love You (Like I Love You) - Tony Orlando & Dawn
842,"Gypsys, Tramps & Thieves - Cher"
843,No Air - Jordin Sparks & Chris Brown
844,My Guy - Mary Wells
845,When I See You Smile - Bad English
846,Just My Imagination - The Temptations
847,Boulevard of Broken Dreams - Green Day
848,Livin' La Vida Loca - Ricky Martin
849,You're in Love - Wilson Phillips
850,Mashed Potato Time - Dee Dee Sharp
851,Queen of Hearts - Juice Newton
852,Will to Power - Baby I Love Your Way/Freebird Medley
853,The Hustle - Van McCoy
854,Harper Valley P.T.A. - Jeannie C. Riley
855,Cherish - Kool & the Gang
856,"Don't Worry, Be Happy - Bobby McFerrin"
857,Lean on Me - Club Nouveau
858,Forever Your Girl - Paula Abdul
859,Wishing Well - Terence Trent D'Arby
860,"Fingertips, Pt. 2 - Stevie Wonder"
861,Stutter - Joe Ft. Mystikal
862,You Are the Sunshine of My Life - Stevie Wonder
863,I Miss You - Klymaxx
864,When I Think of You - Janet Jackson
865,Unpretty - TLC
866,Stevie Nicks & Tom Petty - Stop Draggin' My Heart Around
867,Again - Janet Jackson
868,Father Figure - George Michael
869,Toy Soldiers - Martika
870,Girl You Know It's True - Milli Vanilli
871,"Exhale (Shoop, Shoop) - Whitney Houston"
872,Let's Stay Together - Al Green
873,Semi-Charmed Life - Third Eye Blind
874,Make It With You - Bread
875,Cream - Prince & the New Power Generation
876,Hello Goodbye - The Beatles
877,Theme From Shaft - Isaac Hayes
878,DJ Got Us Fallin' in Love - Usher
879,Boogie Nights - Heatwave
880,Up Where We Belong - Joe Cocker & Jennifer Warnes
881,Friends & Lovers - Gloria Loring & Carl Anderson
882,Live to Tell - Madonna
883,Don't Cha - Pussycat Dolls
884,Lady Marmalade - Labelle
885,Hit 'em Up Style - Blu Cantrell
886,Let Your Love Flow - Bellamy Brothers
887,I Knew You Were Waiting (For Me) - Aretha Franklin and George Michael
888,My Way - Usher
889,American Woman - The Guess Who
890,Miss You - The Rolling Stones
891,You're Sixteen - Ringo Starr
892,Paul McCartney & Wings - Band on the Run
893,Hoobastank - The Reason
894,Sunshine on My Shoulders - John Denver
895,All My Life - K-Ci & Jojo
896,Don't Dream It's Over - Crowded House
897,Where Do Broken Hearts Go - Whitney Houston
898,You Give Love a Bad Name - Bon Jovi
899,Say It Isn't So - Daryl Hall & John Oates
900,Everybody Have Fun Tonight - Wang Chung
901,Music - Madonna
902,Baker Street - Gerry Rafferty
903,Venus - Bananarama
904,Shut Up and Dance - Walk the Moon
905,Do You Really Want to Hurt Me - Culture Club
906,The Stripper - David Rose
907,A Little More Love - Olivia Newton-John
908,Soul II Soul - Back to Life
909,Love to Love You Baby - Donna Summer
910,Can't Smile Without You - Barry Manilow
911,M - Pop Muzik
912,A Thousand Miles - Vanessa Carlton
913,Handy Man - Jimmy Jones
914,Sara Smile - Daryl Hall & John Oates
915,All Around the World - Lisa Stansfield
916,Take My Breath Away - Berlin
917,Mrs Robinson - Simon & Garfunkel
918,Incense and Peppermints - Strawberry Alarm Clock
919,This Diamond Ring - Gary Lewis and the Playboys
920,Rude Boy - Rihanna
921,"The Candy Man - Sammy Davis, Jr."
922,Mony Mony - Billy Idol
923,Last Train to Clarksville - The Monkees
924,Mrs. Brown You've Got a Lovely Daughter - Herman's Hermits
925,The Girl Is Mine Michael Jackson and Paul McCartney
926,Sensitivity - Ralph Tresvant
927,Giving You the Best That I Got - Anita Baker
928,The Reflex - Duran Duran
929,Everybody Loves Somebody - Dean Martin
930,The Love You Save - Jackson 5
931,You Needed Me - Anne Murray
932,This Love - Maroon 5
933,Don't Leave Me This Way - Thelma Houston
934,A Hard Day's Night - The Beatles
935,Cutting Crew - (I Just) Died in Your Arms
936,Seasons Change - Exposé
937,Amanda - Boston
938,Dancing in the Dark - Bruce Springsteen
939,Nothin' on You - B.O.B Feat. Bruno Mars
940,Destiny's Child - Jumpin' Jumpin'
941,We Can Work It Out - The Beatles
942,"Hello, I Love You - The Doors"
943,Sexual Healing - Marvin Gaye
944,Rapture - Blondie
945,Higher Love - Steve Winwood
946,Disco Inferno - 50 Cent
947,Steam - Na Na Hey Hey Kiss Him Goodbye
948,Diamonds - Rihanna
949,Quarter to Three - Gary U.S. Bonds
950,What's Luv? - Fat Joe
951,Got to Give It Up (Part 1) - Marvin Gaye
952,I Don't Wanna Know - Mario Winans
953,"Grillz - Nelly Ft. Paul Wall, Ali & Gipp"
954,Memories - Maroon 5
955,Wooly Bully - Sam the Sham and the Pharoahs
956,Joyride - Roxette
957,Kansas City - Wilbert Harrison
958,Pumped Up Kicks - Foster the People
959,Lips of an Angel - Hinder
960,Sussudio - Phil Collins
961,21 Questions - 50 Cent
962,Bad Medicine - Bon Jovi
963,Baby-Baby-Baby - TLC
964,Talk Dirty - Jason Derulo Feat. 2 Chainz
965,This Is What You Came for (Feat. Rihanna) - Calvin Harris
966,Let's Do It Again - The Staple Singers
967,Unskinny Bop - Poison
968,Love Will Lead You Back - Taylor Dayne
969,I'll Be There for You - Bon Jovi
970,Heaven - Warrant
971,Ride Like the Wind - Christopher Cross
972,Can't Buy Me Love - The Beatles
973,The Best of Times - Styx
974,Shame on the Moon - Bob Seger
975,My Life - Billy Joel
976,Crush - Jennifer Paige
977,Mirrors - Justin Timberlake
978,Just a Dream - Nelly
979,House of the Rising Sun - The Animals
980,I Feel for You - Chaka Khan
981,Walk Like a Man - The Four Seasons
982,The Mamas and the Papas - Monday Monday
983,Chapel of Love - The Dixie Cups
984,Pick Up the Pieces - Average White Band
985,Take Good Care of My Baby - Bobby Vee
986,Have You Ever Really Loved a Woman? - Bryan Adams
987,Lately - Divine
988,Bump N Grind - R. Kelly
989,Don't Start Now - Dua Lipa
990,Listen to Your Heart - Roxette
991,"All for Love - Bryan Adams, Rod Stewart and Sting"
992,Cruise - Florida Georgia Line Feat. Nelly
993,I Feel Fine - The Beatles
994,Only Girl (In the World) - Rihanna
995,Lights - Ellie Goulding
996,Is This Love - Whitesnake
997,Caribbean Queen (No More Love on the Run) - Billy Ocean
998,High Hopes - Panic! at the Disco
999,Love Theme From Romeo & Juliet - Henry Mancini
