,cluster,artists,name,id
7071,66,"['Bleu Clair', 'Rhiannon Roze']",Gold,2AZo3hWWkaJjfSLcHRxG41
7072,42,['Kideko'],Cubanito,69IiEbevPrOBIlP2tjnoSn
7073,17,"['Eden Prince', 'Akua']",Love You Again (feat. Akua),6DB1uu3VcQqV6rae4lWze8
7074,37,['Biscits'],Talk To Me,6uABa7vKOgFqXnwvk8NBr5
7075,16,"['Richy Ahmed', 'Jamie Jones']",I Need It - Edit,6O6KmxA1KAbLyR88lbaLNn
7076,37,"['Trans-X', 'Claptone']",Living on Video - Claptone Remix,2c8WUPaH87mh35xf8i0SwG
7077,36,"['Maur', 'Roobinz', 'FABER']",Can't Get Enough,3Hq1sl11H1mFTkrou8c7q2
7078,70,"['Apashe', 'Volac', 'Geoffroy']",Distance - Volac Remix,2VoAMUScQEOC99jaDkxelf
7079,73,"['Cristoph', 'Franky Wah', 'Artche']",The World You See,4TQgbkv9CF1Qy4GIfpZeSO
7080,11,"['Joshwa (UK)', 'Martin Badder']",By My Side - Edit,2DrOVQdF9Mj0I5mkL4x2xD
7081,50,"['A-Trak', 'Ferreck Dawn']",My Own Way,7Csd6ozp0Ci3ZDfvRgzrWz
7082,35,"['SKIY', 'Prophecy', 'L.A.']",What If,1ydm3DkQ1KOlawhvfl9XCn
7083,37,['Jaden Thompson'],Closer - Edit,6PslLP8aOsBre5vzdXKEQr
7084,73,['Wankelmut'],Lost In A Moment,3Cgqpo0ASrbFeX7rNgiuZW
7085,35,"['MOTi', 'L4TCH']",On And On,70n69mBQ7kaNPHpky7UEpF
7086,45,"['Joseph Capriati', 'Eric Kupper', 'Byron Stingily', 'Frank Wiedemann', 'Toto Chiavetta']",Love Changed Me feat. Byron Stingily - Frank Wiedemann & Toto Chiavetta Garage Remix,3LVDBfB3HAGUXSant5A32t
7087,24,['Leftwing : Kody'],If You Wanna,5NMpjgdyG48RGtkjj8QENH
7088,7,"['Idris Elba', 'Inner City', ""Steffanie Christi'an""]",No More Looking Back (feat. Steffanie Christi'an),4f3boNz24gG32cajPw9Nlr
7089,3,['Glass Petals'],Heartbeat,5YT0stC917pjldKbdVzEo4
7090,37,['Joyce Muniz'],Crystalline,6v2y4LdmqC1S9F4YDXoaxR
7091,66,['Dam Swindle'],Spice Run,1TkJTS4V23IjVDUxaMWhyf
7092,98,['John Summit'],Beauty Sleep,4Gq2ikHCdv7v2Wfvb7Z8Ns
7093,66,"['Hannah Wants', 'Nathan Nicholson']",Lift Off,3MY6AV8GNXROdQnTXVa6Re
7094,16,['AmyElle'],Animal Kingdom,68pyMFPW2TOrCrjnbytDk5
7095,24,"['Tyler Young', 'Hayley May']",My Time,20AxPRguXfSIunBkDoY8Dc
7096,21,"['MK', 'Raphaella']",Lies,0WWSJNzZ3GUXNMHkWj0Kno
7097,45,"['Dennis Ferrer', 'Disciples', 'James Yuill']",Whisper (with James Yuill),0RwDjtiwRatY6Ai8z5AIna
7098,66,"['Seth Troxler', 'The Martinez Brothers']",Play In The Dark,4ND92kpiHy3mxvLVgFSowz
7099,37,"['Andre Salmon', 'Gettoblaster', 'Missy']",Don't Stop,0a60XuzZXC3G4LoPLmseWz
7100,98,['Floorplan'],Right There,5YKYzjEbhcMxzhFgU2CLbf
7101,70,['Monki'],Yurican Soul,3wWRDze2BT30T2fEaSB5nQ
7102,37,"['Jamie Jones', 'Harvy Valencia']",Electric Mama,4O2Cd6mRDAwXp5ggwDNYep
7103,51,"['Roger Sanchez', 'Jacky']",What I Mean,47x1vM18oHbtCzpWujbOqM
7104,37,"['Ela Minus', 'TSHA']",megapunk - TSHA Remix,1d87n4WnUawIAyqAEGn6ps
7105,51,"['Armin van Buuren', 'Duncan Laurence', 'Sammy Porter']",Feel Something - Sammy Porter Remix,5UdOQKxkT9n82dzNKU9p8q
